"Date","Price","Open","High","Low","Vol.","Change %"
"17/11/2023","149.79","150.55","150.79","149.07","7.03M","-0.21%"
"20/11/2023","149.91","147.91","150.40","147.54","8.86M","0.08%"
"21/11/2023","151.12","150.10","151.29","149.61","5.92M","0.81%"
"22/11/2023","150.82","151.63","152.04","150.39","4.64M","-0.20%"
"24/11/2023","152.50","150.86","152.68","150.86","3.35M","1.11%"
"27/11/2023","151.28","152.29","152.32","150.97","6.45M","-0.80%"
"28/11/2023","151.63","151.40","151.81","150.84","5.91M","0.23%"
"29/11/2023","152.11","151.33","152.20","151.07","5.19M","0.32%"
"30/11/2023","154.66","152.26","155.14","151.92","12.48M","1.68%"
"01/12/2023","158.38","156.44","158.46","155.47","10.34M","2.41%"
"04/12/2023","158.88","158.00","160.02","158.00","8.92M","0.32%"
"05/12/2023","158.55","158.80","159.63","158.22","7.27M","-0.21%"
"06/12/2023","156.62","158.52","158.66","156.17","6.64M","-1.22%"
"07/12/2023","155.40","156.58","156.58","154.71","6.53M","-0.78%"
"08/12/2023","154.42","155.42","155.85","153.84","6.25M","-0.63%"
"11/12/2023","155.06","154.50","155.48","154.35","6.09M","0.41%"
"12/12/2023","155.07","155.00","155.32","153.65","5.32M","0.01%"
"13/12/2023","155.79","153.66","155.94","151.77","10.76M","0.46%"
